model,id,title,price,sale
products.Product,0,رول ضد تعریق مردانه شون مدل Fresh Bamboo حجم 50 میلی لیتر,"۱۸,۵۰۰",۳۸٪
products.Product,1,کرم مرطوب کننده کامان مدل Oil pluse حجم 400 میلی لیتر,"۴۵,۹۰۰",۳۰٪
products.Product,2,کتاب بخواهید تا به شما داده شود اثر استر هیکس و جری هیکس انتشارات آتیسا,"۲۹,۱۶۰",۷۳٪
products.Product,3,رول ضد تعریق زنانه شون مدل Silk Petal حجم 50 میلی لیتر,"۱۷,۲۰۰",۴۲٪
products.Product,4,پوشینه چسبی بزرگسال ایزی لایف سایز بزرگ بسته 14 عددی,"۱۳۲,۰۰۰",۱۵٪
products.Product,5,کتاب راز اثر راندا برن نشر آلوس,"۱۹,۶۰۰",۷۲٪
products.Product,6,ماسک مو مغذی هانادی مدل روغن آرگان حجم 500 میلی لیتر,"۸۹,۰۰۰",۳۳٪
products.Product,7,پد لاک پاک کن کامان مدل 01 بسته 45 عددی,"۱۹,۹۰۰",۲۶٪
products.Product,8,پوشینه شورتی بزرگسال ایزی لایف مدل 002 سایز بزرگ بسته 10عددی,"۹۹,۹۰۰",۱۵٪
products.Product,9,ماسک صورت سودا مدل MILK and COFFEE حجم 200 میلی لیتر بسته دو عددی,"۳۹,۹۰۰",۴۳٪
products.Product,10,شارژر همراه ای دیتا مدل P10050C ظرفیت 10050 میلی آمپر ساعت,"۲۲۹,۰۰۰",۳۸٪
products.Product,11,کتاب داستان های پندآموز شاهنامه اثر سمانه حاجی محمدتقی انتشارات آتیسا,"۳۰,۸۰۰",۷۲٪
products.Product,12,ست بهداشتی آقایان هیدرودرم کد 02 مجموعه 8 عددی,"۱۹۵,۰۰۰",۳۴٪
products.Product,13,شارژر همراه ژیپین مدل PX102 ظرفیت 10000 میلی آمپر ساعت,"۱۸۵,۰۰۰",۲۶٪
products.Product,14,کتاب کار عمیق اثر کال نیوپورت انتشارات آتیسا,"۲۴,۵۰۰",۷۵٪
products.Product,15,دهان شویه میسویک مدل Sensitive Care حجم 400 میلی لیتر,"۲۶,۹۰۰",۳۲٪
products.Product,16,کتاب محدودیت صفر و حضور در وضعیت صفر اثر جو ویتالی نشر آتیسا,"۵۸,۰۰۰",۷۶٪
products.Product,17,,"۸۹,۹۰۰",۴۶٪
products.Product,18,کتاب عیبی ندارد اگر حالت خوش نیست اثر مگان دیواین نشر میلکان,"۳۶,۵۰۰",۳۴٪
products.Product,19,کرم آبرسان کامان سری واتربمب مدل SENSITIVE حجم 500 میلی لیتر,"۶۶,۹۰۰",۳۲٪
products.Product,20,لامپ اس ام دی 10 وات پارس شهاب کد 0550 مجموعه 3 عددی به همراه ریموت,"۲۱۵,۰۰۰",۴۲٪
products.Product,21,ادو پرفیوم مردانه امپر مدل Prima Niut حجم 75 میلی لیتر,"۱۴۹,۰۰۰",۵۳٪
products.Product,22,کتاب تئوری انتخاب اثر ویلیام گلسر نشر ندای معاصر,"۲۱,۸۴۰",۷۲٪
products.Product,23,کوله پشتی گوگانا کد 30334,"۱۶۹,۹۰۰",۶۳٪
products.Product,24,فلش مموری کینگ استار مدل KS222  ظرفیت32 گیگابایت,"۸۶,۰۰۰",۱۶٪
products.Product,25,اسپیکر بلوتوثی قابل حمل کینگ استار مدل KBS139,"۲۶۹,۰۰۰",۲۳٪
products.Product,26,نورافکن دستی مدل ab2000,"۶۹,۰۰۰",۵۱٪
products.Product,27,کتاب هنر در گذر زمان اثر هلن گاردنر,"۱۴۹,۰۰۰",۳۸٪
products.Product,28,کفش پیاده روی مردانه پاما مدل N6-02 کد G1451,"۳۱۵,۰۰۰",۲۱٪
products.Product,29,کفش راحتی زنانه مدل  هارت کد Da-Kzs 2120,"۱۱۹,۰۰۰",۲۵٪
products.Product,30,چسب فوری ناس کد 41747 بسته دو عددی,"۱۳,۵۰۰",۳۹٪
products.Product,31,سرویس تابه 2 پارچه زرساب مدل MG-214-218,"۱۷۵,۰۰۰",۳۸٪
products.Product,32,ساک پیک نیک فوروارد کد FCLT4425,"۱۰۹,۰۰۰",۵۸٪
products.Product,33,سرویس تابه 2 پارچه زرساب مدل گرانیکو,"۲۹۲,۰۰۰",۳۷٪
products.Product,34,پتو کودک افرا سایز 130×100 سانتی متر,"۱۲۴,۰۰۰",۲۶٪
products.Product,35,اسپیکر بلوتوثی قابل حمل کینگ استار مدل  417,"۱,۰۷۷,۰۰۰",۳۸٪
products.Product,36,,"۲۴,۰۰۰",۲۵٪
products.Product,37,کیف اداری چرم ما مدل Ma-132,"۱۶۵,۰۰۰",۷۱٪
